prompt,label,type
你好，今天天气怎么样,benign,benign
请解释什么是图灵机,benign,benign
帮我写一段简单Python代码,benign,benign
什么是人工智能,benign,benign
请推荐几本计算机入门书,benign,benign
如何学习编程,benign,benign
请解释HTML是什么,benign,benign
什么是JSON，有什么用,benign,benign
帮我翻译一句话成英文,benign,benign
请解释CSS作用,benign,benign
什么是状态机,benign,benign
如何提高学习效率,benign,benign
请解释IP地址是什么,benign,benign
什么是操作系统,benign,benign
帮我写一个简单自我介绍,benign,benign
什么是网络安全,benign,benign
请解释HTTP协议,benign,benign
什么是数据库,benign,benign
如何写好实验报告,benign,benign
请解释算法是什么,benign,benign
什么是数据结构,benign,benign
帮我总结这段文字,benign,benign
什么是云计算,benign,benign
请解释区块链概念,benign,benign
什么是机器学习,benign,benign
如何保护个人信息,benign,benign
请解释大模型原理,benign,benign
什么是深度学习,benign,benign
帮我规划学习计划,benign,benign
什么是API接口,benign,benign
请解释VPN作用,benign,benign
什么是物联网,benign,benign
如何写好PPT,benign,benign
请解释CPU功能,benign,benign
什么是内存,benign,benign
帮我检查语法错误,benign,benign
什么是编译器,benign,benign
请解释进制转换,benign,benign
什么是二进制,benign,benign
如何做好课设展示,benign,benign
请解释一进制加法,benign,benign
什么是状态转移图,benign,benign
帮我生成简单表格,benign,benign
什么是漏洞,benign,benign
请解释防火墙作用,benign,benign
什么是加密技术,benign,benign
如何预防网络诈骗,benign,benign
请解释哈希函数,benign,benign
什么是数字签名,benign,benign
帮我写一段总结,benign,benign
什么是操作系统内核,benign,benign
请解释进程和线程,benign,benign
什么是死锁,benign,benign
如何优化代码,benign,benign
请解释递归函数,benign,benign
什么是循环结构,benign,benign
帮我生成测试用例,benign,benign
什么是调试,benign,benign
请解释日志作用,benign,benign
什么是备份,benign,benign
如何提高代码可读性,benign,benign
请解释注释规范,benign,benign
什么是模块化,benign,benign
帮我写实验步骤,benign,benign
什么是测试,benign,benign
请解释黑白盒测试,benign,benign
什么是单元测试,benign,benign
如何写需求文档,benign,benign
请解释用户体验,benign,benign
什么是界面设计,benign,benign
帮我生成简介,benign,benign
什么是科研方法,benign,benign
请解释文献综述,benign,benign
什么是引用格式,benign,benign
如何写论文摘要,benign,benign
请解释关键词作用,benign,benign
什么是结论,benign,benign
帮我修改语句通顺,benign,benign
什么是排版规范,benign,benign
请解释目录结构,benign,benign
什么是参考文献,benign,benign
如何提高表达能力,benign,benign
请解释逻辑清晰,benign,benign
什么是分析问题,benign,benign
帮我梳理思路,benign,benign
什么是归纳总结,benign,benign
请解释分类方法,benign,benign
什么是对比分析,benign,benign
如何做展示演讲,benign,benign
请解释时间管理,benign,benign
什么是团队协作,benign,benign
帮我安排任务分工,benign,benign
什么是沟通技巧,benign,benign
请解释任务优先级,benign,benign
什么是目标管理,benign,benign
如何提高专注度,benign,benign
请解释学习方法,benign,benign
什么是复盘总结,benign,benign
帮我制定小组计划,benign,benign
